Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('BETAMETHASONE', 'BMPR2')",0.07241050734177214,0.011811784157000831,0.06771055305239546,0.008023634981023493,0.22241097022067136,0.05368536505044212,0.0,0.5587301587301587,0.030769230769230767,0.6768558951965066,0.7784431137724551,0.6036240090600227,0.0,0.8862551442694937,0.7097170961995175,3.972241653523324e-05,0.0,0,0.0,1
"('SULFASALAZINE', 'BMPR2')",0.08911392405063291,0.014536487519708638,0.07637664938311169,0.010030682057932037,0.0,0.0,0.0,0.5587301587301587,0.030769230769230767,0.6768558951965066,0.7784431137724551,0.0,0.0,0.8276710217805708,0.7097170961995175,0.0004404662896818267,0.0,0,0.0,1
"('ESTRADIOL BENZOATE', 'BMPR2')",0.0,0.0,0.05927985181861881,0.0071238616648455514,0.0,0.0,0.0,0.5587301587301587,0.030769230769230767,0.0,0.7784431137724551,0.0,0.0,0.8071964018930641,0.7097170961995175,0.00015687840454421223,0.0,0,0.0,1
"('LEFLUNOMIDE', 'VAMP2')",0.0,0.0,0.33615029693959303,0.048718095726006036,0.004280152967947515,0.001033139571883578,0.0,0.5587301587301587,0.04615384615384616,0.0,0.7854291417165669,0.6104190260475651,0.0,0.8348581160802664,0.7126756209948456,0.0010664111238132335,0.0071439811279846105,0,0.0,1
"('BETAMETHASONE', 'VAMP2')",0.3837441701265822,0.06259731460861857,0.38833383573145336,0.05019584399974388,0.27226293299914783,0.06571858813106701,0.0,0.5587301587301587,0.04615384615384616,0.6870451237263464,0.7854291417165669,0.6047565118912798,0.0,0.8862551442694937,0.7126756209948456,3.972241653523324e-05,0.0071439811279846105,0,0.0,1
"('SULFASALAZINE', 'VAMP2')",0.4110790825316456,0.06705625430027398,0.38402624912674255,0.05297863682059141,0.0,0.0,0.0,0.5587301587301587,0.04615384615384616,0.6870451237263464,0.7854291417165669,0.0,0.0,0.8276710217805708,0.7126756209948456,0.0004404662896818267,0.0071439811279846105,0,0.0,1
"('ESTRADIOL BENZOATE', 'VAMP2')",0.0,0.0,0.3434154485499119,0.0440372859152977,0.0,0.0,0.0,0.5587301587301587,0.04615384615384616,0.0,0.7854291417165669,0.0,0.0,0.8071964018930641,0.7126756209948456,0.00015687840454421223,0.0071439811279846105,0,0.0,1
"('LEFLUNOMIDE', 'EPHB3')",0.3606727939240506,0.058833853670235386,0.3469274365005608,0.04686963859396775,0.006071480889007001,0.0014655287353844257,0.0,0.5587301587301587,0.030769230769230767,0.6622998544395924,0.7684630738522954,0.6092865232163079,0.0,0.8348581160802664,0.7085188029818452,0.0010664111238132335,0.0,0,0.0,1
"('BETAMETHASONE', 'EPHB3')",0.3500546956962025,0.0571018027700365,0.3405843648133312,0.040568659121627625,0.3862102760466854,0.09322309792195348,0.0,0.5587301587301587,0.030769230769230767,0.6622998544395924,0.7684630738522954,0.6036240090600227,0.0,0.8862551442694937,0.7085188029818452,3.972241653523324e-05,0.0,0,0.0,1
"('SULFASALAZINE', 'EPHB3')",0.0,0.0,0.3071704365326069,0.04609065501627567,0.0,0.0,0.0,0.5587301587301587,0.030769230769230767,0.0,0.7684630738522954,0.0,0.0,0.8276710217805708,0.7085188029818452,0.0004404662896818267,0.0,0,0.0,1
"('ESTRADIOL BENZOATE', 'EPHB3')",0.3423070065822785,0.05583798022702797,0.31775333952892165,0.038501547112546934,0.0,0.0,0.0032,0.5587301587301587,0.030769230769230767,0.6622998544395924,0.7684630738522954,0.0,0.6842105263157895,0.8071964018930641,0.7085188029818452,0.00015687840454421223,0.0,0,0.0,1
"('LEFLUNOMIDE', 'EPHB2')",0.09377492658227847,0.022548929896694242,0.09020113340810768,0.017209102300294054,0.0049519010684640095,0.0011952855396044507,0.0,0.5587301587301587,0.04615384615384616,0.6783114992721979,0.7794411177644709,0.6104190260475651,0.0,0.8348581160802664,0.7142194031676911,0.0010664111238132335,0.0,0,0.0,1
"('BETAMETHASONE', 'EPHB2')",0.09101422075949367,0.02106319729970644,0.0885519351385996,0.014770817153048437,0.3149931865118553,0.0760327792712414,0.0,0.5587301587301587,0.04615384615384616,0.6783114992721979,0.7794411177644709,0.6047565118912798,0.0,0.8862551442694937,0.7142194031676911,3.972241653523324e-05,0.0,0,0.0,1
"('SULFASALAZINE', 'EPHB2')",0.04690206582278481,0.007650782992050523,0.07986431302675855,0.01726287664323568,0.0,0.0,0.0,0.5587301587301587,0.04615384615384616,0.6783114992721979,0.7794411177644709,0.0,0.0,0.8276710217805708,0.7142194031676911,0.0004404662896818267,0.0,0,0.0,1
"('ESTRADIOL BENZOATE', 'EPHB2')",0.08899982177215189,0.014517874868938515,0.08261586796987662,0.01375980312554478,0.0,0.0,0.0008320000000000001,0.5587301587301587,0.04615384615384616,0.6637554585152838,0.7794411177644709,0.0,0.6856330014224751,0.8071964018930641,0.7142194031676911,0.00015687840454421223,0.0,0,0.0,1
"('LEFLUNOMIDE', 'PTPRM')",0.0,0.0,0.2890436737702292,0.04926753752568805,0.006519312609033503,0.0015736259634435278,0.0,0.5587301587301587,0.04615384615384616,0.0,0.7824351297405191,0.6104190260475651,0.0,0.8348581160802664,0.7980636234373837,0.0010664111238132335,0.0,0,0.0,1
"('BETAMETHASONE', 'PTPRM')",0.0,0.0,0.3151381842653421,0.040952546339988204,0.4146971120688082,0.13984567889938526,0.0,0.5587301587301587,0.04615384615384616,0.0,0.7824351297405191,0.7497168742921857,0.0,0.8862551442694937,0.7980636234373837,3.972241653523324e-05,0.0,0,0.0,1
"('SULFASALAZINE', 'PTPRM')",0.3682393559493671,0.06006813030679802,0.3529720483255889,0.04991376422073529,0.0,0.0,0.1911,0.5587301587301587,0.04615384615384616,0.6826783114992722,0.7824351297405191,0.0,0.6742532005689901,0.8276710217805708,0.7980636234373837,0.0004404662896818267,0.0,0,0.0,1
"('ESTRADIOL BENZOATE', 'PTPRM')",0.0,0.0,0.2911151756449287,0.036345251646522636,0.0,0.0,0.0,0.5587301587301587,0.04615384615384616,0.0,0.7824351297405191,0.0,0.0,0.8071964018930641,0.7980636234373837,0.00015687840454421223,0.0,0,0.0,1
